ISIN code,dom_country,economic_sector,industry
AU000000MGX7,Australia,Materials,Steel
AU000000MIN4,Australia,Materials,Diversified Metals and Mining
AU000000MLX7,Australia,Materials,Diversified Metals and Mining
AU000000MMS5,Australia,Commercial and Professional Services,Human Resource and Employment Services
AU000000MND5,Australia,Capital Goods,Construction and Engineering
AU000000MP15,Australia,Software and Services,Internet Services and Infrastructure
AU000000MPL3,Australia,Insurance,Life and Health Insurance
AU000000MQG1,Australia,Financial Services,Diversified Capital Markets
AU000000MSB8,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AU000000MTS0,Australia,Consumer Staples Distribution and Retail,Food Distributors
AU000000MYX0,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
AU000000NAB4,Australia,Banks,Diversified Banks
AU000000NAN9,Australia,Health Care Equipment and Services,Health Care Supplies
AU000000NCM7,Australia,Materials,Gold
AU000000NGI6,Australia,Financial Services,Asset Management and Custody Banks
AU000000NHC7,Australia,Energy,Coal and Consumable Fuels
AU0000018236,Australia,Materials,Diversified Metals and Mining
AU000000NSR2,Australia,Equity Real Estate Investment Trusts (REITs),Self-Storage REITs
AU000000NST8,Australia,Materials,Gold
AU000000NUF3,Australia,Materials,Fertilizers and Agricultural Chemicals
AU000000NXT8,Australia,Software and Services,Internet Services and Infrastructure
AU000000ORA8,Australia,Materials,"Metal, Glass and Plastic Containers"
AU000000ORG5,Australia,Utilities,Electric Utilities
AU000000ORI1,Australia,Materials,Commodity Chemicals
AU000000OZL8,Australia,Materials,Copper
AU000000PAC7,Australia,Financial Services,Asset Management and Custody Banks
AU000000PAN4,Australia,Materials,Diversified Metals and Mining
AU0000047797,Australia,Consumer Services,Casinos and Gaming
AU000000PLS0,Australia,Materials,Diversified Metals and Mining
AU000000PME8,Australia,Health Care Equipment and Services,Health Care Technology
AU000000PNV0,Australia,Health Care Equipment and Services,Health Care Supplies
AU000000PRU3,Australia,Materials,Gold
AU000000QAN2,Australia,Transportation,Passenger Airlines
AU000000QBE9,Australia,Insurance,Property and Casualty Insurance
