ISIN code,dom_country,economic_sector,industry
CA4296951094,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA45075E1043,Canada,Insurance,Life and Health Insurance
CA45823T1066,Canada,Insurance,Property and Casualty Insurance
CA45868C1095,Canada,Materials,Forest Products
CA4495861060,Canada,Financial Services,Asset Management and Custody Banks
CA4528921022,Canada,Materials,Copper
CA4509131088,Canada,Materials,Gold
CA4530384086,Canada,Energy,Integrated Oil and Gas
CA45790B1040,Canada,Utilities,Renewable Electricity
CA46579R1047,Canada,Materials,Diversified Metals and Mining
CA48213W4083,Canada,Utilities,Multi-Utilities
CA4707481046,Canada,Household and Personal Products,Personal Care Products
CA4969024047,Canada,Materials,Gold
CA4882951060,Canada,Energy,Oil and Gas Exploration and Production
CA4932711001,Canada,Energy,Oil and Gas Storage and Transportation
CA49410M1023,Canada,Equity Real Estate Investment Trusts (REITs),Multi-Family Residential REITs
CA49448Q1090,Canada,Software and Services,Application Software
CA5394811015,Canada,Consumer Staples Distribution and Retail,Food Retail
CA5179071017,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA51925D1069,Canada,Banks,Diversified Banks
CA5170971017,Canada,Materials,Diversified Metals and Mining
CA5054401073,Canada,Materials,Steel
CA5266821092,Canada,Consumer Discretionary Distribution and Retail,Homefurnishing Retail
CA53278L1076,Canada,Automobiles and Components,Automotive Parts and Equipment
CA53229C1077,Canada,Software and Services,Application Software
CA54928Q1081,Canada,Materials,Precious Metals and Minerals
CA5503711080,Canada,Materials,Gold
CA5503721063,Canada,Materials,Copper
CA5589122004,Canada,Capital Goods,Aerospace and Defense
CA5609091031,Canada,Materials,Diversified Metals and Mining
CA5527041084,Canada,Energy,Oil and Gas Exploration and Production
CA56501R1064,Canada,Insurance,Life and Health Insurance
CA5649051078,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA5592224011,Canada,Automobiles and Components,Automotive Parts and Equipment
CA6175771014,Canada,Real Estate Management and Development,Real Estate Operating Companies
CA5734591046,Canada,Automobiles and Components,Automotive Parts and Equipment
CA59162N1096,Canada,Consumer Staples Distribution and Retail,Food Retail
CA6252841045,Canada,Transportation,Cargo Ground Transportation
CA55378N1078,Canada,Consumer Services,Restaurants
CA64128F7039,United States,Materials,Copper
CA62910L1022,Canada,Capital Goods,Construction Machinery and Heavy Transportation Equipment
CA6445351068,Canada,Materials,Gold
CA6665111002,Canada,Utilities,Renewable Electricity
CA67077M1086,Canada,Materials,Fertilizers and Agricultural Chemicals
CA67072Q1046,Canada,Energy,Oil and Gas Exploration and Production
CA6632782083,Canada,Consumer Staples Distribution and Retail,Food Retail
CA6744822033,Canada,Energy,Oil and Gas Exploration and Production
CA6752221037,Canada,Materials,Gold
CA68272K1030,Canada,Financial Services,Asset Management and Custody Banks
CA68827L1013,Canada,Materials,Gold
CA6837151068,Canada,Software and Services,Application Software
CA6979001089,Canada,Materials,Silver
CA74061A1084,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA74022D4075,Canada,Energy,Oil and Gas Drilling
CA7170461064,Canada,Energy,Oil and Gas Exploration and Production
CA70137W1086,Canada,Energy,Oil and Gas Refining and Marketing
CA7005632087,Canada,Consumer Services,Specialized Consumer Services
CA7142703031,Canada,Energy,Oil and Gas Exploration and Production
CA6993202069,Canada,Energy,Oil and Gas Exploration and Production
CA7392391016,Canada,Insurance,Life and Health Insurance
CA7063271034,Canada,Energy,Oil and Gas Storage and Transportation
CA74167P1080,United States,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
CA7029251088,Canada,Energy,Oil and Gas Equipment and Services
CA7397211086,Canada,Energy,Oil and Gas Exploration and Production
CA69946Q1046,Canada,Energy,Oil and Gas Exploration and Production
CA7481931094,Canada,Telecommunication Services,Integrated Telecommunication Services
CA76131D1033,Canada,Consumer Services,Restaurants
CA7477131055,Canada,Technology Hardware and Equipment,Communications Equipment
CA74935Q1072,United States,Commercial and Professional Services,Diversified Support Services
CA74971G4016,Canada,Financial Services,Investment Banking and Brokerage
CA76329W1032,Canada,Capital Goods,Trading Companies and Distributors
CA7751092007,Canada,Telecommunication Services,Wireless Telecommunication Services
CA75601Y1007,Canada,Real Estate Management and Development,Real Estate Services
CA7669101031,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA7594042052,Canada,Consumer Discretionary Distribution and Retail,Apparel Retail
CA77519R1029,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA7819036046,Canada,Capital Goods,Trading Companies and Distributors
CA7800871021,Canada,Banks,Diversified Banks
CA8239011031,Canada,Materials,Diversified Metals and Mining
CA8029121057,Canada,"Food, Beverage and Tobacco",Packaged Foods and Meats
CA81373C1023,Canada,Energy,Oil and Gas Refining and Marketing
CA86880Y8779,Canada,Energy,Oil and Gas Exploration and Production
CA82621K1021,Canada,Health Care Equipment and Services,Health Care Facilities
CA8520662088,Canada,Financial Services,Asset Management and Custody Banks
CA8283631015,Canada,Materials,Precious Metals and Minerals
CA85853F1053,Canada,Materials,Forest Products
CA82028K2002,Canada,Media and Entertainment,Cable and Satellite
CA8667961053,Canada,Insurance,Life and Health Insurance
CA86828P1036,Canada,Utilities,Gas Utilities
CA83179X1087,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA80013R2063,Canada,Materials,Gold
CA7847301032,United States,Materials,Gold
CA8585221051,Canada,Materials,Steel
CA85472N1096,Canada,Capital Goods,Construction and Engineering
CA8672241079,Canada,Energy,Integrated Oil and Gas
CA82835P1036,Canada,Materials,Silver
CA87971M1032,Canada,Telecommunication Services,Integrated Telecommunication Services
CA89346D1078,Canada,Utilities,Independent Power Producers and Energy Traders
CA8935781044,Canada,Materials,"Metal, Glass and Plastic Containers"
CA89612W1023,Canada,Real Estate Management and Development,Real Estate Operating Companies
CA8911605092,Canada,Banks,Diversified Banks
CA8787422044,Canada,Materials,Diversified Metals and Mining
CA87241L1094,Canada,Transportation,Cargo Ground Transportation
CA89679M1041,Canada,Materials,Gold
CA8911021050,Canada,Capital Goods,Trading Companies and Distributors
CA8765111064,Canada,Materials,Copper
CA89154B1022,Canada,Energy,Oil and Gas Equipment and Services
CA89156V1067,Canada,Energy,Oil and Gas Exploration and Production
CA6087112067,Canada,"Food, Beverage and Tobacco",Brewers
CA8849038085,Canada,Commercial and Professional Services,Research and Consulting Services
CA87807B1076,Canada,Energy,Oil and Gas Storage and Transportation
CA89788C1041,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CA87505Y4094,Canada,Energy,Oil and Gas Exploration and Production
CA8910546032,Canada,Materials,Gold
CA89156L1085,Canada,Energy,Oil and Gas Exploration and Production
CA9237251058,Canada,Energy,Oil and Gas Exploration and Production
CA92625W5072,Canada,Materials,Gold
CA92663R1055,United States,Health Care Equipment and Services,Health Care Services
CA94106B1013,Canada,Commercial and Professional Services,Environmental and Facilities Services
CA96467A2002,Canada,Energy,Oil and Gas Exploration and Production
CA95083R1001,Canada,Materials,Gold
CA9582112038,Canada,Materials,Forest Products
CA9528451052,Canada,Materials,Forest Products
CA96810C1014,Canada,Media and Entertainment,Movies and Entertainment
CA9611485090,Canada,Consumer Staples Distribution and Retail,Food Retail
CA97535P1045,Canada,Materials,"Metal, Glass and Plastic Containers"
CA9628791027,Canada,Materials,Gold
CA9609085076,Canada,Capital Goods,Construction Machinery and Heavy Transportation Equipment
CA92938W2022,Canada,Capital Goods,Construction and Engineering
CA96145A2002,Canada,Transportation,Marine Ports and Services
CA87262K1057,Canada,Financial Services,Financial Exchanges and Data
CA9855721069,Canada,Media and Entertainment,Interactive Media and Services
CZ0005112300,Czech Republic,Utilities,Electric Utilities
CZ0008040318,Czech Republic,Banks,Diversified Banks
DK0015998017,Denmark,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
DK0010181759,Denmark,"Food, Beverage and Tobacco",Brewers
DK0060227585,Denmark,Materials,Specialty Chemicals
DK0060448595,Denmark,Health Care Equipment and Services,Health Care Supplies
DK0010274414,Denmark,Banks,Diversified Banks
DK0060738599,Denmark,Health Care Equipment and Services,Health Care Equipment
DK0060655629,Denmark,Transportation,Marine Transportation
DK0060083210,Denmark,Transportation,Marine Transportation
DK0060079531,Denmark,Transportation,Air Freight and Logistics
DK0010234467,Denmark,Capital Goods,Construction Machinery and Heavy Transportation Equipment
DK0010272202,Denmark,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
DK0010272632,Denmark,Consumer Durables and Apparel,Consumer Electronics
DK0060542181,Denmark,Commercial and Professional Services,Diversified Support Services
DK0010287234,Denmark,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
DK0010244425,Denmark,Transportation,Marine Transportation
DK0060534915,Denmark,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
DK0060094928,Denmark,Utilities,Renewable Electricity
DK0060700516,Denmark,Capital Goods,Construction and Engineering
DK0060252690,Denmark,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
DK0010219153,Denmark,Capital Goods,Building Products
DK0010253921,Denmark,"Food, Beverage and Tobacco",Packaged Foods and Meats
DK0060477503,Denmark,Insurance,Property and Casualty Insurance
DK0060636678,Denmark,Insurance,Property and Casualty Insurance
DK0061539921,Denmark,Capital Goods,Heavy Electrical Equipment
DK0060257814,Denmark,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
EGS37091C013,Egypt,"Food, Beverage and Tobacco",Tobacco
FI4000062781,Finland,Commercial and Professional Services,Diversified Support Services
FI0009013429,Finland,Capital Goods,Industrial Machinery and Supplies and Components
FI0009007884,Finland,Telecommunication Services,Integrated Telecommunication Services
FI0009003230,Finland,Transportation,Passenger Airlines
FI0009007132,Finland,Utilities,Electric Utilities
FI0009000400,Finland,Consumer Durables and Apparel,Housewares and Specialties
FI0009000459,Finland,Materials,Paper and Plastic Packaging Products and Materials
FI0009005870,Finland,Capital Goods,Industrial Machinery and Supplies and Components
FI0009004824,Finland,Materials,Diversified Chemicals
FI0009000202,Finland,Consumer Staples Distribution and Retail,Food Retail
FI0009013403,Finland,Capital Goods,Industrial Machinery and Supplies and Components
FI0009000665,Finland,Materials,Paper and Plastic Packaging Products and Materials
FI0009014575,Finland,Capital Goods,Construction Machinery and Heavy Transportation Equipment
FI0009013296,Finland,Energy,Oil and Gas Refining and Marketing
FI0009000681,Finland,Technology Hardware and Equipment,Communications Equipment
FI0009002422,Finland,Materials,Steel
FI0009010912,Finland,Health Care Equipment and Services,Health Care Equipment
FI4000552500,Finland,Insurance,Property and Casualty Insurance
FI0009005961,Finland,Materials,Paper Products
FI0009000277,Finland,Software and Services,IT Consulting and Other Services
FI0009005318,Finland,Automobiles and Components,Tires and Rubber
FI0009005987,Finland,Materials,Paper Products
FI4000074984,Finland,Capital Goods,Industrial Machinery and Supplies and Components
FI0009003727,Finland,Capital Goods,Industrial Machinery and Supplies and Components
FI0009800643,Finland,Consumer Durables and Apparel,Homebuilding
FR0000120404,France,Consumer Services,"Hotels, Resorts and Cruise Lines"
FR0000045072,France,Banks,Diversified Banks
FR0010340141,France,Transportation,Airport Services
FR001400J770,France,Transportation,Passenger Airlines
FR0000120073,France,Materials,Industrial Gases
FR0010313833,France,Materials,Specialty Chemicals
FR0010425595,France,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
FR0011648716,France,Materials,Commodity Chemicals
FR0010220475,France,Capital Goods,Construction Machinery and Heavy Transportation Equipment
FR0014004L86,France,Capital Goods,Aerospace and Defense
FR0000071946,France,Software and Services,IT Consulting and Other Services
FR0000051732,France,Software and Services,IT Consulting and Other Services
FR0013280286,France,Health Care Equipment and Services,Health Care Equipment
FR0000120644,France,"Food, Beverage and Tobacco",Packaged Foods and Meats
FR0000131104,France,Banks,Diversified Banks
FR0000039299,France,Media and Entertainment,Movies and Entertainment
FR0000063935,France,"Food, Beverage and Tobacco",Packaged Foods and Meats
FR0006174348,France,Commercial and Professional Services,Research and Consulting Services
FR0000120172,France,Consumer Staples Distribution and Retail,Consumer Staples Merchandise Retail
FR0000125338,France,Software and Services,IT Consulting and Other Services
FR0000053324,France,Consumer Services,Leisure Facilities
FR0000130403,France,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
FR0000036675,France,Commercial and Professional Services,Human Resource and Employment Services
FR0013181864,France,Energy,Oil and Gas Equipment and Services
FR0010386334,France,Health Care Equipment and Services,Health Care Facilities
FR0000125585,France,Consumer Staples Distribution and Retail,Food Retail
FR0000064578,France,Equity Real Estate Investment Trusts (REITs),Diversified REITs
FR0000120628,France,Insurance,Multi-line Insurance
FR0000053381,France,Commercial and Professional Services,Environmental and Facilities Services
FR0010417345,France,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
FR0000077919,France,Media and Entertainment,Advertising
FR0000125486,France,Capital Goods,Construction and Engineering
FR0013154002,France,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
FR0014003TT8,France,Software and Services,Application Software
FR0010908533,France,Financial Services,Transaction and Payment Processing Services
FR0010242511,France,Utilities,Electric Utilities
FR0000121667,France,Health Care Equipment and Services,Health Care Supplies
FR0011950732,France,Consumer Services,Restaurants
FR0012435121,France,Commercial and Professional Services,Diversified Support Services
FR0000120503,France,Capital Goods,Construction and Engineering
FR0010208488,France,Utilities,Multi-Utilities
FR0000131757,France,Materials,Diversified Metals and Mining
FR0014000MR3,Luxembourg,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
FR0010221234,France,Media and Entertainment,Cable and Satellite
FR0012789949,France,Transportation,Passenger Ground Transportation
FR0013451333,France,Consumer Services,Casinos and Gaming
FR0000130452,France,Capital Goods,Construction and Engineering
FR0000050353,France,Capital Goods,Aerospace and Defense
FR0013176526,France,Automobiles and Components,Automotive Parts and Equipment
FR0010533075,France,Transportation,Highways and Railtracks
FR0010040865,France,Equity Real Estate Investment Trusts (REITs),Office REITs
FR0000130809,France,Banks,Diversified Banks
FR0004163111,France,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
FR0011726835,France,Energy,Oil and Gas Storage and Transportation
FR0000121329,France,Capital Goods,Aerospace and Defense
FR0000035081,France,Equity Real Estate Investment Trusts (REITs),Diversified REITs
FR0004035913,France,Telecommunication Services,Alternative Carriers
FR0010331421,France,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
FR0010259150,France,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
FR0000073298,France,Media and Entertainment,Advertising
FR0004024222,France,Household and Personal Products,Personal Care Products
FR0000121485,France,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
FR0000120685,France,Financial Services,Investment Banking and Brokerage
FR0000121964,France,Equity Real Estate Investment Trusts (REITs),Retail REITs
FR0010307819,France,Capital Goods,Electrical Components and Equipment
FR0000121014,France,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
FR0011742329,France,Capital Goods,Industrial Machinery and Supplies and Components
FR001400AJ45,France,Automobiles and Components,Tires and Rubber
FR0000130213,France,Media and Entertainment,Publishing
FR0000044448,France,Capital Goods,Electrical Components and Equipment
FR0010112524,France,Real Estate Management and Development,Real Estate Development
FR0000120321,France,Household and Personal Products,Personal Care Products
FR0000133308,France,Telecommunication Services,Integrated Telecommunication Services
FR0004038263,France,Technology Hardware and Equipment,Communications Equipment
FR0000130577,France,Media and Entertainment,Advertising
FR0000130395,France,"Food, Beverage and Tobacco",Distillers and Vintners
FR0000120693,France,"Food, Beverage and Tobacco",Distillers and Vintners
FR0000052292,France,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
FR0000131906,France,Automobiles and Components,Automobile Manufacturers
FR0013269123,France,Utilities,Gas Utilities
FR0010451203,France,Capital Goods,Trading Companies and Distributors
FR0000073272,France,Capital Goods,Aerospace and Defense
FR0000120578,France,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
FR0010411983,France,Insurance,Reinsurance
FR0000032658,France,Commercial and Professional Services,Human Resource and Employment Services
FR0000125007,France,Capital Goods,Building Products
FR0000121709,France,Consumer Durables and Apparel,Household Appliances
FR0013227113,France,Semiconductors and Semiconductor Equipment,Semiconductor Materials and Equipment
FR0000050809,France,Software and Services,IT Consulting and Other Services
FR0000121972,France,Capital Goods,Electrical Components and Equipment
FR0000121220,France,Consumer Services,Restaurants
FR0000051807,France,Commercial and Professional Services,Data Processing and Outsourced Services
FR0000054900,France,Media and Entertainment,Broadcasting
FR0004188670,France,Capital Goods,Building Products
FR0005691656,France,Automobiles and Components,Automobile Manufacturers
FR0000120271,France,Energy,Integrated Oil and Gas
FR0000054470,France,Media and Entertainment,Interactive Home Entertainment
FR0013505062,France,Technology Hardware and Equipment,Communications Equipment
FR0000031775,France,Materials,Construction Materials
FR0000124141,France,Utilities,Multi-Utilities
FR0000127771,France,Media and Entertainment,Broadcasting
FR0013506730,France,Energy,Oil and Gas Equipment and Services
FR0004056851,France,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
FR0011981968,France,Financial Services,Transaction and Payment Processing Services
BE0974310428,Belgium,Semiconductors and Semiconductor Equipment,Semiconductors
GRS015003007,Greece,Banks,Diversified Banks
GRS282183003,Greece,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GRS298343005,Greece,Energy,Oil and Gas Refining and Marketing
GRS003003035,Greece,Banks,Diversified Banks
GRS323003012,Greece,Banks,Diversified Banks
GRS260333000,Greece,Telecommunication Services,Integrated Telecommunication Services
GRS393503008,Greece,Capital Goods,Industrial Conglomerates
GRS419003009,Greece,Consumer Services,Casinos and Gaming
GRS014003032,Greece,Banks,Diversified Banks
DE0006062144,Germany,Materials,Specialty Chemicals
DE0005545503,Germany,Telecommunication Services,Wireless Telecommunication Services
DE000TRAT0N7,Germany,Capital Goods,Construction Machinery and Heavy Transportation Equipment
DE000A2DAM03,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE000A1EWWW0,Germany,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
DE0005313704,Germany,Health Care Equipment and Services,Health Care Equipment
DE000A2LQ884,Germany,Consumer Discretionary Distribution and Retail,Automotive Retail
DE000A0WMPJ6,Germany,Semiconductors and Semiconductor Equipment,Semiconductor Materials and Equipment
DE0008404005,Germany,Insurance,Multi-line Insurance
DE000BFB0019,Germany,Consumer Staples Distribution and Retail,Food Distributors
DE000BASF111,Germany,Materials,Diversified Chemicals
DE000BAY0017,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
DE0005158703,Germany,Software and Services,IT Consulting and Other Services
DE0005200000,Germany,Household and Personal Products,Personal Care Products
DE0005190003,Germany,Automobiles and Components,Automobile Manufacturers
DE000A1DAHH0,Germany,Capital Goods,Trading Companies and Distributors
DE000A1PHFF7,Germany,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
DE000A1X3XX4,Germany,Real Estate Management and Development,Diversified Real Estate Activities
DE0005493092,Germany,Media and Entertainment,Movies and Entertainment
DE000CBK1001,Germany,Banks,Diversified Banks
DE0007257503,Germany,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
DE0005439004,Germany,Automobiles and Components,Automotive Parts and Equipment
DE000A288904,Germany,Health Care Equipment and Services,Health Care Technology
DE0005810055,Germany,Financial Services,Financial Exchanges and Data
DE000A2E4K43,Germany,Consumer Services,Restaurants
DE0005552004,Germany,Transportation,Air Freight and Logistics
DE0005557508,Germany,Telecommunication Services,Integrated Telecommunication Services
DE0005565204,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE000A0HN5C6,Germany,Real Estate Management and Development,Real Estate Operating Companies
DE0005220008,Germany,Utilities,Electric Utilities
DE000ENER6Y0,Germany,Capital Goods,Heavy Electrical Equipment
DE000ENAG999,Germany,Utilities,Multi-Utilities
DE0005470306,Germany,Media and Entertainment,Movies and Entertainment
DE000EVNK013,Germany,Materials,Specialty Chemicals
DE0005664809,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
DE0005785802,Germany,Health Care Equipment and Services,Health Care Services
DE000A0Z2ZZ5,Germany,Telecommunication Services,Wireless Telecommunication Services
DE000A3E5D64,Germany,Materials,Commodity Chemicals
DE0005773303,Germany,Transportation,Airport Services
DE0005785604,Germany,Health Care Equipment and Services,Health Care Services
DE0006602006,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE0005909006,Germany,Commercial and Professional Services,Diversified Support Services
DE0005878003,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE000A0LD6E6,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
DE000HAG0005,Germany,Capital Goods,Aerospace and Defense
DE0006083405,Germany,Consumer Discretionary Distribution and Retail,Home Improvement Retail
DE0007314007,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE0006047004,Germany,Materials,Construction Materials
DE0006048432,Germany,Household and Personal Products,Household Products
DE000A161408,Germany,Consumer Staples Distribution and Retail,Food Retail
DE000HLAG475,Germany,Transportation,Marine Transportation
DE000A13SX22,Germany,Automobiles and Components,Automotive Parts and Equipment
DE0008402215,Germany,Insurance,Reinsurance
DE0006231004,Germany,Semiconductors and Semiconductor Equipment,Semiconductors
DE000KBX1006,Germany,Capital Goods,Construction Machinery and Heavy Transportation Equipment
DE000KC01000,Germany,Capital Goods,Trading Companies and Distributors
DE000KGX8881,Germany,Capital Goods,Construction Machinery and Heavy Transportation Equipment
DE0006335003,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE0006204407,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE000LEG1110,Germany,Real Estate Management and Development,Real Estate Operating Companies
DE0008232125,Germany,Transportation,Passenger Airlines
DE0005470405,Germany,Materials,Diversified Chemicals
DE0007100000,Germany,Automobiles and Components,Automobile Manufacturers
DE0006632003,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
DE0006599905,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
DE000A0D9PT0,Germany,Capital Goods,Aerospace and Defense
DE000A0H52F5,Germany,Utilities,Multi-Utilities
DE000A3H2200,Germany,Software and Services,IT Consulting and Other Services
DE0006766504,Germany,Materials,Copper
DE000A0D6554,Germany,Capital Goods,Heavy Electrical Equipment
DE0006452907,Germany,Software and Services,Application Software
DE000A1J5RX9,Germany,Telecommunication Services,Integrated Telecommunication Services
DE000PAG9113,Germany,Automobiles and Components,Automobile Manufacturers
DE000PAH0038,Germany,Automobiles and Components,Automobile Manufacturers
DE000PSM7770,Germany,Media and Entertainment,Broadcasting
DE0006969603,Germany,Consumer Durables and Apparel,Footwear
DE0007010803,Germany,Capital Goods,Industrial Machinery and Supplies and Components
DE0007042301,Germany,Health Care Equipment and Services,Health Care Facilities
DE0007030009,Germany,Capital Goods,Aerospace and Defense
DE0007037129,Germany,Utilities,Independent Power Producers and Energy Traders
DE000A0DJ6J9,Germany,Semiconductors and Semiconductor Equipment,Semiconductor Materials and Equipment
DE0007164600,Germany,Software and Services,Application Software
DE000KSAG888,Germany,Materials,Fertilizers and Agricultural Chemicals
DE000SHA0159,Germany,Automobiles and Components,Automotive Parts and Equipment
DE000SHL1006,Germany,Health Care Equipment and Services,Health Care Equipment
DE0007236101,Germany,Capital Goods,Industrial Conglomerates
DE000A1K0235,Germany,Semiconductors and Semiconductor Equipment,Semiconductor Materials and Equipment
DE0007165631,Germany,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
DE000SYM9999,Germany,Materials,Specialty Chemicals
DE0006202005,Germany,Materials,Steel
DE0007297004,Germany,"Food, Beverage and Tobacco",Packaged Foods and Meats
DE0008303504,Germany,Real Estate Management and Development,Real Estate Operating Companies
DE0007500001,Germany,Materials,Steel
DE000A2YN900,Germany,Software and Services,Application Software
DE000A0TGJ55,Germany,Capital Goods,Electrical Components and Equipment
DE000A0JL9W6,Germany,Energy,Oil and Gas Refining and Marketing
DE000A1ML7J1,Germany,Real Estate Management and Development,Real Estate Operating Companies
DE0007664039,Germany,Automobiles and Components,Automobile Manufacturers
DE000WAF3001,Germany,Semiconductors and Semiconductor Equipment,Semiconductor Materials and Equipment
DE000WCH8881,Germany,Materials,Specialty Chemicals
DE0008051004,Germany,Insurance,Life and Health Insurance
DE000ZAL1111,Germany,Consumer Discretionary Distribution and Retail,Apparel Retail
HU0000073507,Hungary,Telecommunication Services,Integrated Telecommunication Services
HK0002007356,Hong Kong,Utilities,Electric Utilities
HK0003000038,Hong Kong,Utilities,Gas Utilities
HK0004000045,Hong Kong,Real Estate Management and Development,Diversified Real Estate Activities
HK0006000050,Hong Kong,Utilities,Electric Utilities
HK0008011667,Hong Kong,Telecommunication Services,Integrated Telecommunication Services
HK0010000088,Hong Kong,Real Estate Management and Development,Real Estate Operating Companies
HK0011000095,Hong Kong,Banks,Diversified Banks
HK0012000102,Hong Kong,Real Estate Management and Development,Real Estate Development
HK0014000126,Hong Kong,Real Estate Management and Development,Real Estate Operating Companies
HK0016000132,Hong Kong,Real Estate Management and Development,Diversified Real Estate Activities
HK0000608585,Hong Kong,Real Estate Management and Development,Diversified Real Estate Activities
HK0019000162,Hong Kong,Capital Goods,Industrial Conglomerates
HK0023000190,Hong Kong,Banks,Diversified Banks
HK0027032686,Hong Kong,Consumer Services,Casinos and Gaming
BMG420981224,Hong Kong,Capital Goods,Industrial Conglomerates
HK0066009694,Hong Kong,Transportation,Rail Transportation
BMG8063F1068,Hong Kong,Consumer Services,"Hotels, Resorts and Cruise Lines"
HK0083000502,Hong Kong,Real Estate Management and Development,Real Estate Development
HK0101000591,Hong Kong,Real Estate Management and Development,Real Estate Operating Companies
HK0119000674,Hong Kong,Real Estate Management and Development,Real Estate Development
BMG5320C1082,Hong Kong,Utilities,Gas Utilities
BMG348041077,Hong Kong,"Food, Beverage and Tobacco",Packaged Foods and Meats
HK0144000764,Hong Kong,Transportation,Marine Ports and Services
CNE1000004K1,China,"Food, Beverage and Tobacco",Brewers
CNE1000003J5,China,Transportation,Highways and Railtracks
BMG5150J1577,Hong Kong,Automobiles and Components,Automotive Parts and Equipment
BMG2345T1099,Hong Kong,Utilities,Renewable Electricity
HK0200030994,Hong Kong,Consumer Services,Casinos and Gaming
BMG0171K1018,Hong Kong,Consumer Staples Distribution and Retail,Drug Retail
HK0257001336,Hong Kong,Commercial and Professional Services,Environmental and Facilities Services
HK0267001375,Hong Kong,Capital Goods,Industrial Conglomerates
HK0270001396,Hong Kong,Utilities,Water Utilities
HK0285041858,China,Technology Hardware and Equipment,Communications Equipment
HK0291001490,Hong Kong,"Food, Beverage and Tobacco",Brewers
HK0293001514,Hong Kong,Transportation,Passenger Airlines
BMG8403G1033,Hong Kong,Materials,Fertilizers and Agricultural Chemicals
BMG9400S1329,Hong Kong,Technology Hardware and Equipment,Communications Equipment
BMG677491539,Hong Kong,Transportation,Marine Transportation
BMG3122U1457,Hong Kong,Consumer Discretionary Distribution and Retail,Apparel Retail
BMG4639H1227,Hong Kong,Materials,Specialty Chemicals
CNE1000004C8,China,Materials,Commodity Chemicals
HK0345001611,Hong Kong,"Food, Beverage and Tobacco",Packaged Foods and Meats
CNE1000003K3,China,Materials,Copper
HK0363006039,Hong Kong,Capital Goods,Industrial Conglomerates
BMG0957L1090,Hong Kong,Utilities,Water Utilities
BMG2109G1033,Hong Kong,Utilities,Gas Utilities
CNE1000002Q2,China,Energy,Integrated Oil and Gas
HK0388045442,Hong Kong,Financial Services,Financial Exchanges and Data
CNE1000007Z2,China,Capital Goods,Construction and Engineering
HK0440001847,Hong Kong,Banks,Diversified Banks
BMG3775G1539,Hong Kong,Utilities,Renewable Electricity
CNE100000312,China,Automobiles and Components,Automobile Manufacturers
